epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.153,2.6214,4.00432,3.40377,0.74014,0.07642,0.08099,0.03952,1.62102,2.61946,2.3462,0.00999459,0.00333153,0.00999459,0.00333153,0.00999459,0.00333153,0.00999459,0.00333153
2,882.529,1.63458,2.81436,2.15188,0.39035,0.17374,0.136,0.08093,1.29798,2.10187,1.8391,0.0197966,0.00659888,0.0197966,0.00659888,0.0197966,0.00659888,0.0197966,0.00659888
3,1283.01,1.44745,2.41771,1.90181,0.59689,0.15662,0.15377,0.09325,1.21823,1.92106,1.75592,0.0294007,0.00980023,0.0294007,0.00980023,0.0294007,0.00980023,0.0294007,0.00980023
4,1684.14,1.37004,2.22146,1.78585,0.17589,0.29094,0.22935,0.15931,1.02955,1.55082,1.52384,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2085.41,1.28495,2.04238,1.7018,0.35956,0.33381,0.28823,0.20583,0.94087,1.31889,1.43947,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2479.07,1.23515,1.92321,1.64223,0.29374,0.38685,0.3088,0.22932,0.88238,1.25894,1.37621,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2879.6,1.19724,1.84104,1.60545,0.35241,0.3897,0.34473,0.26403,0.81764,1.16965,1.31617,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3281.75,1.16743,1.76554,1.572,0.36172,0.40766,0.38199,0.29034,0.78177,1.13085,1.27768,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3684.43,1.14705,1.72583,1.55173,0.40721,0.44548,0.42152,0.329,0.75455,1.07962,1.2496,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4085.99,1.12945,1.67666,1.53516,0.43754,0.46539,0.44422,0.34605,0.74008,1.02571,1.23443,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4479.36,1.11122,1.63007,1.51302,0.49063,0.45708,0.45271,0.35748,0.71888,1.00713,1.21333,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4879.02,1.10028,1.60563,1.49672,0.51407,0.46599,0.48202,0.37824,0.70391,0.97271,1.19488,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5281.28,1.08917,1.56909,1.48124,0.59825,0.48004,0.50956,0.40507,0.67818,0.94552,1.17277,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5683.66,1.07632,1.54631,1.4722,0.51843,0.51363,0.51506,0.41053,0.67088,0.9262,1.1631,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6084.78,1.06854,1.52446,1.45959,0.56739,0.51268,0.54096,0.43303,0.66337,0.9007,1.15218,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6478.37,1.05562,1.50014,1.4459,0.58327,0.5067,0.54724,0.4407,0.64765,0.88523,1.13756,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6878.55,1.04884,1.4827,1.43949,0.56789,0.53208,0.55756,0.4541,0.64721,0.86809,1.13548,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7272.25,1.04389,1.45839,1.43007,0.62462,0.51676,0.57217,0.46392,0.63859,0.84784,1.12882,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7659.42,1.03806,1.43755,1.42398,0.67223,0.49607,0.57417,0.46821,0.62975,0.84179,1.11951,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8050.42,1.03085,1.4229,1.4154,0.6156,0.54504,0.58672,0.47953,0.61736,0.82943,1.10833,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8445.91,1.02723,1.4058,1.40861,0.60467,0.56095,0.59209,0.48496,0.61425,0.82096,1.10538,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
