frame_id,scene_id,scene,true_count,pred_count,error,abs_error
1,S1,无遮挡场景,9,9,0,0
2,S1,无遮挡场景,6,6,0,0
3,S1,无遮挡场景,10,9,-1,1
4,S1,无遮挡场景,9,9,0,0
5,S1,无遮挡场景,6,6,0,0
6,S1,无遮挡场景,6,6,0,0
7,S1,无遮挡场景,7,7,0,0
8,S1,无遮挡场景,6,6,0,0
9,S1,无遮挡场景,9,9,0,0
10,S1,无遮挡场景,8,8,0,0
11,S1,无遮挡场景,7,7,0,0
12,S1,无遮挡场景,9,9,0,0
13,S1,无遮挡场景,6,6,0,0
14,S1,无遮挡场景,8,8,0,0
15,S1,无遮挡场景,9,9,0,0
16,S1,无遮挡场景,6,6,0,0
17,S1,无遮挡场景,9,9,0,0
18,S1,无遮挡场景,10,10,0,0
19,S1,无遮挡场景,8,8,0,0
20,S1,无遮挡场景,6,6,0,0
21,S1,无遮挡场景,6,4,-2,2
22,S1,无遮挡场景,10,10,0,0
23,S1,无遮挡场景,9,9,0,0
24,S1,无遮挡场景,7,7,0,0
25,S1,无遮挡场景,7,7,0,0
26,S1,无遮挡场景,8,8,0,0
27,S1,无遮挡场景,8,8,0,0
28,S1,无遮挡场景,9,9,0,0
29,S1,无遮挡场景,8,8,0,0
30,S1,无遮挡场景,9,9,0,0
31,S1,无遮挡场景,9,9,0,0
32,S1,无遮挡场景,6,6,0,0
33,S1,无遮挡场景,10,11,1,1
34,S1,无遮挡场景,8,8,0,0
35,S1,无遮挡场景,10,10,0,0
36,S1,无遮挡场景,6,6,0,0
37,S1,无遮挡场景,10,10,0,0
38,S1,无遮挡场景,10,10,0,0
39,S1,无遮挡场景,7,7,0,0
40,S1,无遮挡场景,10,10,0,0
41,S1,无遮挡场景,8,8,0,0
42,S1,无遮挡场景,8,8,0,0
43,S1,无遮挡场景,7,8,1,1
44,S1,无遮挡场景,7,7,0,0
45,S1,无遮挡场景,6,6,0,0
46,S1,无遮挡场景,8,8,0,0
47,S1,无遮挡场景,7,7,0,0
48,S1,无遮挡场景,6,6,0,0
49,S1,无遮挡场景,8,8,0,0
50,S1,无遮挡场景,9,9,0,0
51,S1,无遮挡场景,6,6,0,0
52,S1,无遮挡场景,10,11,1,1
53,S1,无遮挡场景,7,7,0,0
54,S1,无遮挡场景,6,6,0,0
55,S1,无遮挡场景,8,8,0,0
56,S1,无遮挡场景,6,6,0,0
57,S1,无遮挡场景,8,8,0,0
58,S1,无遮挡场景,9,9,0,0
59,S1,无遮挡场景,6,6,0,0
60,S1,无遮挡场景,7,7,0,0
61,S1,无遮挡场景,9,9,0,0
62,S1,无遮挡场景,10,10,0,0
63,S1,无遮挡场景,7,7,0,0
64,S1,无遮挡场景,6,6,0,0
65,S1,无遮挡场景,8,8,0,0
66,S1,无遮挡场景,9,9,0,0
67,S1,无遮挡场景,10,10,0,0
68,S1,无遮挡场景,6,6,0,0
69,S1,无遮挡场景,6,6,0,0
70,S1,无遮挡场景,6,6,0,0
71,S1,无遮挡场景,8,8,0,0
72,S1,无遮挡场景,8,8,0,0
73,S1,无遮挡场景,9,9,0,0
74,S1,无遮挡场景,7,7,0,0
75,S1,无遮挡场景,7,7,0,0
76,S1,无遮挡场景,6,6,0,0
77,S1,无遮挡场景,9,8,-1,1
78,S1,无遮挡场景,6,6,0,0
79,S1,无遮挡场景,7,7,0,0
80,S1,无遮挡场景,9,9,0,0
81,S1,无遮挡场景,10,10,0,0
82,S1,无遮挡场景,9,8,-1,1
83,S1,无遮挡场景,10,9,-1,1
84,S1,无遮挡场景,10,10,0,0
85,S1,无遮挡场景,7,7,0,0
86,S1,无遮挡场景,10,10,0,0
87,S1,无遮挡场景,6,6,0,0
88,S1,无遮挡场景,8,8,0,0
89,S1,无遮挡场景,6,6,0,0
90,S1,无遮挡场景,6,6,0,0
91,S1,无遮挡场景,10,10,0,0
92,S1,无遮挡场景,6,6,0,0
93,S1,无遮挡场景,7,7,0,0
94,S1,无遮挡场景,8,8,0,0
95,S1,无遮挡场景,7,7,0,0
96,S1,无遮挡场景,10,10,0,0
97,S1,无遮挡场景,6,6,0,0
