video_id,scene,frames,avg_cows,method,id_switch,fragment,track_completeness,label_jump_rate
V1,无遮挡场景,600,6,单帧检测关联,5,4,0.918,0.082
V1,无遮挡场景,600,6,YOLOv8+DeepSORT,1,1,0.982,0.036
V2,轻度遮挡场景,600,8,单帧检测关联,10,8,0.873,0.119
V2,轻度遮挡场景,600,8,YOLOv8+DeepSORT,3,2,0.952,0.051
V3,密集遮挡场景,600,12,单帧检测关联,21,15,0.781,0.176
V3,密集遮挡场景,600,12,YOLOv8+DeepSORT,7,5,0.904,0.083
V4,目标进出画面场景,600,9,单帧检测关联,9,7,0.842,0.132
V4,目标进出画面场景,600,9,YOLOv8+DeepSORT,2,2,0.944,0.049
V5,混合遮挡场景,600,10,单帧检测关联,15,12,0.814,0.158
V5,混合遮挡场景,600,10,YOLOv8+DeepSORT,4,3,0.931,0.061
