epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,208.677,2.8085,4.20557,3.64326,0.6199,0.07156,0.07014,0.03155,1.73146,2.56757,2.57344,0.00998649,0.00332883,0.00998649,0.00332883,0.00998649,0.00332883,0.00998649,0.00332883
2,413.156,1.67758,2.89996,2.21235,0.57868,0.13803,0.11061,0.06174,1.35667,2.30892,1.96579,0.0199205,0.00664018,0.0199205,0.00664018,0.0199205,0.00664018,0.0199205,0.00664018
3,618.837,1.47719,2.45959,1.92237,0.5412,0.16776,0.15248,0.09035,1.35274,2.16126,1.83674,0.0297886,0.00992953,0.0297886,0.00992953,0.0297886,0.00992953,0.0297886,0.00992953
4,826.743,1.37664,2.21492,1.77823,0.44975,0.27225,0.25187,0.17198,1.06208,1.50851,1.57127,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1037.54,1.29034,2.0098,1.68496,0.22452,0.35526,0.27162,0.19034,0.99456,1.52432,1.48214,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1240.37,1.22753,1.88143,1.62609,0.32154,0.37704,0.30639,0.22012,0.91361,1.3439,1.41178,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1444.21,1.19169,1.79771,1.58835,0.49436,0.36404,0.37662,0.28554,0.85259,1.18983,1.35319,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1649.63,1.15855,1.73236,1.5507,0.40531,0.39999,0.39459,0.30266,0.79487,1.1277,1.29749,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1858.53,1.1363,1.68225,1.52791,0.40569,0.42685,0.4082,0.31138,0.78162,1.09206,1.2805,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2060.55,1.11879,1.63777,1.50745,0.50904,0.45319,0.45716,0.35838,0.74121,1.04101,1.23641,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2265.03,1.10651,1.59393,1.48759,0.48161,0.4874,0.4733,0.37639,0.71641,0.98864,1.21204,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2472.29,1.09137,1.56654,1.4736,0.50893,0.46168,0.49454,0.39418,0.69414,0.95145,1.18382,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2680.31,1.07757,1.52771,1.45971,0.55053,0.51106,0.52293,0.4159,0.68511,0.92006,1.18515,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2890.05,1.0717,1.51226,1.44898,0.58493,0.52689,0.55157,0.4439,0.67599,0.90346,1.17207,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3091.39,1.06131,1.48599,1.43772,0.58865,0.53797,0.56502,0.45031,0.65739,0.88727,1.15455,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3294,1.04966,1.4608,1.42804,0.5912,0.55443,0.57888,0.46553,0.64853,0.86618,1.14396,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3498.36,1.04575,1.43915,1.41854,0.6072,0.565,0.58715,0.47366,0.6452,0.86214,1.13954,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3705.49,1.04014,1.42941,1.41217,0.61705,0.56592,0.59692,0.48081,0.632,0.84379,1.12635,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3906.09,1.03351,1.40764,1.40451,0.59777,0.57993,0.60479,0.49134,0.62914,0.83257,1.12615,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4108.55,1.03376,1.39497,1.39814,0.65029,0.56493,0.61336,0.49935,0.62575,0.8227,1.12076,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,4313.68,1.02368,1.37831,1.38863,0.66453,0.56038,0.61871,0.50463,0.61728,0.81398,1.11177,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4521.08,1.02212,1.36238,1.38453,0.6524,0.57497,0.62273,0.50917,0.61481,0.80991,1.10944,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4722.49,1.01014,1.35314,1.37673,0.66004,0.57125,0.62812,0.51376,0.61144,0.80568,1.10637,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4924.77,1.01345,1.34062,1.37397,0.65854,0.58096,0.63379,0.52072,0.60875,0.80068,1.10356,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5129.29,1.00404,1.32959,1.36825,0.66998,0.5817,0.63639,0.52413,0.60633,0.79521,1.10154,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,5336.47,1.00256,1.32213,1.36678,0.65467,0.59397,0.63962,0.52721,0.60489,0.79036,1.09997,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,5547.03,0.99791,1.31295,1.35928,0.66603,0.5937,0.64287,0.52983,0.60303,0.78666,1.09766,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5748.38,0.99704,1.29623,1.35822,0.66841,0.59312,0.64572,0.53385,0.60077,0.78318,1.0949,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,5951.24,0.98889,1.29364,1.35095,0.68126,0.59456,0.64794,0.53548,0.59856,0.78035,1.09307,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,6155.95,0.98934,1.288,1.34965,0.68122,0.59471,0.65075,0.53704,0.59852,0.77751,1.09351,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,6362.69,0.98536,1.28119,1.34604,0.6847,0.59146,0.65192,0.53909,0.59695,0.77573,1.09178,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,6563.86,0.98398,1.27355,1.34247,0.67153,0.59812,0.65355,0.54101,0.59557,0.77161,1.0905,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6766.19,0.97849,1.26172,1.33751,0.66623,0.60723,0.65671,0.54314,0.59468,0.767,1.09005,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6970.5,0.97269,1.25794,1.33561,0.66265,0.61357,0.65859,0.54447,0.5943,0.76485,1.08972,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7177.33,0.97527,1.24664,1.32772,0.67399,0.61705,0.66041,0.54542,0.594,0.76374,1.08926,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7386.91,0.96798,1.24027,1.32846,0.67315,0.61624,0.66273,0.54882,0.59369,0.76042,1.08949,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7587.86,0.96787,1.23326,1.32655,0.67533,0.61364,0.66607,0.5513,0.59292,0.75985,1.08794,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7790.54,0.96812,1.23349,1.32426,0.68185,0.61559,0.66777,0.55342,0.59242,0.75869,1.08675,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,7995.98,0.96772,1.233,1.32514,0.68743,0.61037,0.66898,0.55324,0.59159,0.75612,1.08547,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8204.12,0.9644,1.22106,1.31923,0.67379,0.62118,0.67084,0.55558,0.58958,0.75386,1.08321,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8405.57,0.96159,1.22395,1.3159,0.6709,0.61971,0.67322,0.55749,0.58956,0.75102,1.08249,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,8607.82,0.95807,1.21319,1.3165,0.67185,0.62117,0.6748,0.55871,0.58886,0.74955,1.08155,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,8812.64,0.95744,1.20726,1.3087,0.67607,0.61991,0.6762,0.56186,0.58854,0.74541,1.08127,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,9019.79,0.95943,1.20422,1.30691,0.67058,0.6205,0.67706,0.56222,0.58832,0.74232,1.08094,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9229.17,0.9562,1.20597,1.30832,0.67813,0.62125,0.67859,0.56349,0.58819,0.73985,1.08023,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9430.6,0.95384,1.19851,1.3055,0.68172,0.61875,0.67923,0.5645,0.58807,0.73813,1.07953,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,9632.87,0.95223,1.19366,1.30373,0.67173,0.62904,0.68085,0.56541,0.58647,0.73374,1.07791,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,9837.42,0.95444,1.19494,1.29986,0.67386,0.62941,0.68054,0.56727,0.58558,0.73008,1.07669,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,10044.8,0.95036,1.18822,1.29694,0.67261,0.63005,0.68256,0.56976,0.58549,0.72795,1.07624,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10246.7,0.95017,1.17677,1.29846,0.67741,0.63073,0.68409,0.57141,0.58563,0.72611,1.07604,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10448.9,0.94817,1.17853,1.29339,0.68507,0.63221,0.68633,0.57227,0.58501,0.72348,1.07524,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,10653.9,0.9444,1.17398,1.28919,0.68515,0.63625,0.68907,0.5757,0.5844,0.72065,1.07419,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,10861.5,0.9421,1.16983,1.28976,0.6877,0.63785,0.6902,0.57666,0.58324,0.71849,1.0723,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,11071.1,0.9447,1.16797,1.28869,0.6844,0.64012,0.69059,0.5772,0.58156,0.71689,1.07083,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,11272.7,0.94488,1.1602,1.28767,0.68554,0.63965,0.69183,0.57869,0.5779,0.7163,1.0672,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,11475.5,0.94765,1.15865,1.28716,0.69723,0.63596,0.6931,0.5801,0.57655,0.7145,1.06591,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,11680.4,0.93913,1.16219,1.28445,0.69391,0.64126,0.69385,0.58047,0.57513,0.71282,1.06442,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,11887.6,0.94077,1.15254,1.2834,0.68626,0.64462,0.69429,0.5813,0.5736,0.7127,1.06326,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,12088.6,0.9374,1.15561,1.2812,0.68272,0.64851,0.69493,0.58204,0.57221,0.71237,1.06136,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,12290.6,0.93735,1.14982,1.27839,0.69144,0.64238,0.69671,0.58271,0.57134,0.71014,1.06045,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,12494.6,0.93464,1.14547,1.27909,0.69176,0.64714,0.69826,0.58447,0.56952,0.70837,1.05889,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,12702.3,0.93162,1.14414,1.2764,0.68372,0.65109,0.69866,0.58572,0.56877,0.70589,1.05815,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,12903.3,0.93274,1.13806,1.27509,0.68701,0.64682,0.69927,0.58732,0.56735,0.70412,1.05678,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,13105.8,0.93244,1.13574,1.27508,0.67359,0.66253,0.69886,0.58589,0.56708,0.70319,1.05659,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,13310.5,0.93255,1.1349,1.2753,0.67974,0.65814,0.70047,0.58819,0.56615,0.70312,1.05568,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13517.9,0.9297,1.12725,1.27216,0.68132,0.6598,0.70156,0.5888,0.56441,0.70109,1.05434,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,13727.6,0.92836,1.13134,1.27106,0.68587,0.65602,0.70321,0.59061,0.56254,0.69805,1.05236,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,13928.4,0.93266,1.12586,1.27233,0.69138,0.65195,0.70338,0.59154,0.56061,0.69684,1.05093,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,14130.8,0.92628,1.12722,1.26999,0.6921,0.65571,0.70307,0.59127,0.5593,0.69504,1.04958,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,14335.4,0.92521,1.12021,1.26966,0.69116,0.65881,0.70433,0.59286,0.55765,0.69308,1.04794,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,14527,0.92562,1.12178,1.26504,0.69375,0.66145,0.70479,0.59297,0.55632,0.69091,1.04704,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,14788.4,0.9221,1.11702,1.2665,0.69681,0.65899,0.70501,0.59313,0.55529,0.68901,1.04621,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,15057.5,0.92351,1.11793,1.26354,0.69508,0.65584,0.70624,0.59491,0.55344,0.68781,1.04443,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,15327,0.92385,1.10883,1.26569,0.68784,0.66385,0.70665,0.5953,0.55303,0.68714,1.04391,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,15578.1,0.92212,1.10882,1.26402,0.68326,0.66523,0.70679,0.59647,0.55301,0.68634,1.04406,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,15834.3,0.92327,1.11343,1.26499,0.68415,0.66304,0.70747,0.59621,0.55316,0.68488,1.04444,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,16101.6,0.92137,1.10548,1.25914,0.68043,0.66714,0.70912,0.59877,0.55163,0.6839,1.04299,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,16367.3,0.91808,1.10544,1.26045,0.67904,0.66784,0.7106,0.59904,0.5519,0.68305,1.04337,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,16563.3,0.91659,1.10509,1.25896,0.69135,0.65797,0.71115,0.59919,0.55201,0.68249,1.04309,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,16854.8,0.9173,1.10116,1.25693,0.68401,0.66487,0.71137,0.59955,0.55205,0.68029,1.04325,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,17056,0.91803,1.10381,1.25869,0.68436,0.66855,0.71121,0.59954,0.55178,0.67999,1.04262,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,17232.5,0.91671,1.10151,1.25713,0.6879,0.67407,0.71184,0.6,0.55071,0.67791,1.04171,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,210.682,0.90034,1.06773,1.25174,0.69217,0.66642,0.71189,0.60016,0.54922,0.67717,1.0402,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,398.768,0.90772,1.0901,1.25722,0.69051,0.67343,0.71208,0.59929,0.54882,0.67691,1.03936,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
