epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3287,1.15779,1.80714,1.25633,0.79284,0.65403,0.74813,0.5171,1.06133,1.05046,1.21452,0.000662577,0.000662577,0.000662577
2,59.0159,1.11405,1.0573,1.2452,0.79064,0.66482,0.76311,0.52712,1.07419,0.94965,1.22195,0.00131828,0.00131828,0.00131828
3,92.124,1.10081,0.98528,1.24388,0.77335,0.67672,0.76506,0.53037,1.07159,0.91901,1.21864,0.00196298,0.00196298,0.00196298
4,124.542,1.10733,0.96691,1.23881,0.78474,0.68511,0.7758,0.53456,1.06611,0.87374,1.21545,0.0019505,0.0019505,0.0019505
5,155.139,1.08062,0.91661,1.23093,0.78424,0.69305,0.77866,0.54158,1.0679,0.86042,1.21702,0.001934,0.001934,0.001934
6,190.598,1.07834,0.91322,1.23924,0.80205,0.68746,0.78698,0.53939,1.07618,0.84986,1.22301,0.0019175,0.0019175,0.0019175
7,216.729,1.06412,0.89035,1.22621,0.81061,0.69167,0.78947,0.5499,1.05154,0.84202,1.20887,0.001901,0.001901,0.001901
8,240.748,1.04525,0.86735,1.21368,0.79263,0.70385,0.79156,0.54984,1.05464,0.81732,1.20581,0.0018845,0.0018845,0.0018845
9,265.986,1.04211,0.85232,1.21175,0.82154,0.70662,0.8062,0.56412,1.03319,0.80012,1.19444,0.001868,0.001868,0.001868
10,290.743,1.04712,0.84844,1.2049,0.78316,0.71326,0.79125,0.55284,1.045,0.83747,1.20373,0.0018515,0.0018515,0.0018515
11,318.24,1.03616,0.83651,1.19819,0.81943,0.7163,0.8054,0.56853,1.0192,0.77044,1.1846,0.001835,0.001835,0.001835
12,348.519,1.02609,0.8224,1.19007,0.81971,0.71226,0.80549,0.57071,1.01778,0.7783,1.17429,0.0018185,0.0018185,0.0018185
13,379.046,1.02416,0.8189,1.19175,0.83072,0.71714,0.81545,0.58368,1.00857,0.75742,1.17405,0.001802,0.001802,0.001802
14,409.767,1.02029,0.80139,1.18275,0.82471,0.73291,0.81587,0.57818,1.0101,0.76821,1.17113,0.0017855,0.0017855,0.0017855
15,439.775,1.00632,0.7875,1.17183,0.81608,0.72457,0.81636,0.57509,1.01051,0.77773,1.17434,0.001769,0.001769,0.001769
16,465.483,1.0018,0.78769,1.17671,0.85038,0.70911,0.82202,0.58568,0.9902,0.74892,1.16256,0.0017525,0.0017525,0.0017525
17,487.305,1.00533,0.77515,1.16977,0.84777,0.72544,0.82535,0.5841,1.00466,0.7286,1.16659,0.001736,0.001736,0.001736
18,508.948,1.00226,0.76903,1.16701,0.81343,0.73734,0.82144,0.5884,0.99395,0.76215,1.15433,0.0017195,0.0017195,0.0017195
19,539.262,0.97997,0.75107,1.15345,0.82016,0.74095,0.8241,0.5925,0.97832,0.73056,1.15041,0.001703,0.001703,0.001703
20,571.189,0.99136,0.76281,1.16215,0.83246,0.73291,0.82619,0.59406,0.98687,0.72586,1.15426,0.0016865,0.0016865,0.0016865
21,603.943,0.97988,0.74477,1.16097,0.82701,0.74813,0.83157,0.59779,0.97913,0.71366,1.15068,0.00167,0.00167,0.00167
22,634.01,0.97098,0.7378,1.15241,0.83377,0.7354,0.82896,0.59502,0.9736,0.71007,1.14726,0.0016535,0.0016535,0.0016535
23,665.398,0.97004,0.73608,1.15313,0.84144,0.73595,0.83372,0.60385,0.95392,0.69487,1.1368,0.001637,0.001637,0.001637
24,694.848,0.96587,0.73091,1.14659,0.82872,0.7486,0.8333,0.60427,0.9694,0.6917,1.13705,0.0016205,0.0016205,0.0016205
