epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.566,3.19714,3.42039,3.72923,0.13835,0.16994,0.06742,0.02105,2.71527,3.14931,3.30211,0.000662577,0.000662577,0.000662577
2,62.1464,2.45268,2.61759,2.73721,0.24946,0.23349,0.15069,0.05366,2.33138,3.29791,2.69058,0.00132047,0.00132047,0.00132047
3,93.1131,2.11668,2.24479,2.35061,0.34796,0.24218,0.21406,0.0956,2.07971,2.48982,2.35427,0.00196956,0.00196956,0.00196956
4,123.081,1.97435,2.05568,2.16145,0.48795,0.37753,0.37922,0.17437,1.9393,2.00192,2.19945,0.0019604,0.0019604,0.0019604
5,152.657,1.84067,1.89635,2.05487,0.56039,0.43316,0.44543,0.22212,1.80206,1.86074,2.05914,0.0019472,0.0019472,0.0019472
6,181.783,1.77621,1.82975,1.99014,0.55262,0.40603,0.40947,0.20257,1.80319,1.97069,2.05751,0.001934,0.001934,0.001934
7,211.233,1.71966,1.74027,1.92844,0.59218,0.46861,0.48531,0.25975,1.679,1.70842,1.91093,0.0019208,0.0019208,0.0019208
8,241.875,1.67809,1.69298,1.89178,0.58533,0.46139,0.47509,0.25737,1.66111,1.84774,1.90145,0.0019076,0.0019076,0.0019076
9,272.426,1.64575,1.63461,1.85391,0.63406,0.49492,0.53567,0.29875,1.59095,1.58286,1.84093,0.0018944,0.0018944,0.0018944
10,303.573,1.6251,1.5923,1.81283,0.63956,0.5101,0.54388,0.30339,1.61175,1.52243,1.85615,0.0018812,0.0018812,0.0018812
11,334.441,1.5885,1.54953,1.78719,0.64458,0.5125,0.54405,0.30647,1.59396,1.58118,1.83424,0.001868,0.001868,0.001868
12,365.48,1.56183,1.51778,1.75471,0.66641,0.553,0.59524,0.34553,1.52221,1.40924,1.76815,0.0018548,0.0018548,0.0018548
13,396.477,1.549,1.49408,1.74878,0.68252,0.53493,0.59028,0.34026,1.54124,1.4399,1.7674,0.0018416,0.0018416,0.0018416
14,427.588,1.51022,1.44423,1.7189,0.6822,0.55024,0.60426,0.35781,1.4723,1.37292,1.72886,0.0018284,0.0018284,0.0018284
15,458.276,1.50054,1.41508,1.69744,0.6484,0.5436,0.58773,0.34281,1.4966,1.45766,1.72665,0.0018152,0.0018152,0.0018152
16,489.091,1.48322,1.40782,1.68913,0.68898,0.54815,0.60256,0.35496,1.46745,1.37335,1.72287,0.001802,0.001802,0.001802
17,520.136,1.47289,1.39152,1.68911,0.70281,0.56682,0.6309,0.37966,1.42075,1.30598,1.66727,0.0017888,0.0017888,0.0017888
18,551.796,1.45239,1.36446,1.6574,0.66214,0.56684,0.6087,0.35772,1.46658,1.46677,1.68612,0.0017756,0.0017756,0.0017756
19,582.598,1.41688,1.32625,1.62796,0.70362,0.56573,0.63495,0.38468,1.40445,1.32814,1.65185,0.0017624,0.0017624,0.0017624
20,612.527,1.43946,1.33289,1.6457,0.70455,0.56695,0.62901,0.37449,1.42733,1.31091,1.67874,0.0017492,0.0017492,0.0017492
21,642.851,1.4106,1.30164,1.63073,0.70644,0.58649,0.65026,0.40229,1.39526,1.22236,1.63718,0.001736,0.001736,0.001736
22,672.512,1.39297,1.28237,1.61487,0.72834,0.5959,0.66572,0.40891,1.37753,1.20846,1.6227,0.0017228,0.0017228,0.0017228
23,702.254,1.39666,1.28772,1.62098,0.69701,0.59788,0.65304,0.40257,1.35957,1.20336,1.60176,0.0017096,0.0017096,0.0017096
24,732.081,1.38342,1.26352,1.60106,0.7258,0.59618,0.66342,0.41732,1.33025,1.19457,1.58545,0.0016964,0.0016964,0.0016964
25,762.001,1.35792,1.22678,1.57584,0.74238,0.60116,0.676,0.41608,1.3552,1.19957,1.59762,0.0016832,0.0016832,0.0016832
