epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,30.8665,3.38906,3.63551,4.11653,0.08922,0.05923,0.02162,0.00593,3.05668,3.1357,3.93783,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288
2,56.8611,2.81844,2.86628,3.29802,0.28078,0.19458,0.14253,0.0486,2.5146,2.92744,3.00549,0.01984,0.00661332,0.01984,0.00661332,0.01984,0.00661332,0.01984,0.00661332
3,81.6619,2.25045,2.32741,2.58824,0.33386,0.23665,0.20681,0.08683,2.21233,3.04274,2.6143,0.0296423,0.00988075,0.0296423,0.00988075,0.0296423,0.00988075,0.0296423,0.00988075
4,106.105,1.99316,2.05199,2.24025,0.53061,0.39026,0.41192,0.20149,1.86314,2.19919,2.16103,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,130.394,1.80862,1.83893,2.04689,0.54949,0.42845,0.43608,0.22289,1.83808,2.04663,2.1092,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,154.761,1.72364,1.76075,1.96229,0.60098,0.47329,0.50206,0.27299,1.65756,1.71214,1.95938,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,187.248,1.65452,1.64343,1.88301,0.59361,0.49488,0.51182,0.28047,1.63289,1.77316,1.88588,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,225.303,1.60562,1.59235,1.83659,0.65113,0.50291,0.54916,0.30943,1.58181,1.57255,1.83703,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,263.084,1.56484,1.52381,1.79433,0.6597,0.53833,0.58408,0.33798,1.52815,1.46014,1.78431,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,300.787,1.53562,1.48294,1.74342,0.67016,0.54436,0.59067,0.34407,1.51458,1.42486,1.76301,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,338.184,1.49681,1.43202,1.70963,0.70689,0.56878,0.62401,0.37029,1.45369,1.31598,1.71544,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,374.754,1.47313,1.40474,1.68484,0.69378,0.56324,0.61321,0.36433,1.46178,1.37753,1.70999,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,411.915,1.45411,1.37705,1.67223,0.70197,0.58373,0.63933,0.3871,1.41251,1.26004,1.6646,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,449.977,1.42991,1.34126,1.6501,0.71184,0.56817,0.63823,0.3931,1.38781,1.31091,1.6425,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,489.55,1.40361,1.31304,1.62019,0.69148,0.58497,0.63934,0.3938,1.3704,1.26935,1.61589,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,529.128,1.39064,1.2914,1.61072,0.71247,0.59803,0.65388,0.40722,1.36074,1.2391,1.61787,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,568.353,1.3829,1.27312,1.60435,0.69508,0.59092,0.64446,0.3943,1.3898,1.25703,1.62859,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,607.326,1.36406,1.24653,1.57585,0.73445,0.60244,0.678,0.42509,1.33996,1.17365,1.57641,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,646.771,1.3227,1.21522,1.54635,0.73042,0.60448,0.66777,0.41626,1.3473,1.1888,1.59602,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,686.369,1.3397,1.22045,1.55711,0.72021,0.60836,0.67672,0.42608,1.32376,1.15402,1.54947,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,725.062,1.3176,1.19,1.54076,0.72745,0.61196,0.6823,0.43589,1.30088,1.15832,1.54683,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,762.721,1.30173,1.17342,1.53261,0.72644,0.60614,0.67689,0.42695,1.33117,1.15727,1.56138,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,800.268,1.29712,1.16878,1.52936,0.74656,0.62995,0.70815,0.45104,1.26029,1.09534,1.50376,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,838.969,1.28896,1.15126,1.51339,0.78034,0.61649,0.70457,0.45244,1.27298,1.09099,1.50755,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,878.022,1.26476,1.12059,1.48772,0.75979,0.6233,0.70692,0.45992,1.25444,1.06465,1.49989,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,915.122,1.26239,1.11992,1.4849,0.74146,0.62635,0.69906,0.45413,1.25662,1.07647,1.50397,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,952.29,1.24928,1.09827,1.48488,0.73591,0.65402,0.7125,0.46698,1.2271,1.04325,1.48471,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,989.599,1.24628,1.09987,1.48421,0.75032,0.63936,0.70968,0.46359,1.23184,1.04612,1.47481,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1026.46,1.22752,1.08382,1.46519,0.77516,0.63521,0.72111,0.47485,1.21304,1.02723,1.4571,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1063.03,1.2282,1.07399,1.45109,0.77557,0.64821,0.72275,0.47447,1.21094,1.01301,1.4566,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1099.81,1.19776,1.04935,1.44431,0.77273,0.64905,0.73124,0.48575,1.19535,0.99407,1.4462,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1136.77,1.2129,1.05989,1.44574,0.78448,0.6377,0.73078,0.48327,1.19076,0.98056,1.4491,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
