page	chars	words_like
1	120	24
2	427	36
3	543	47
4	1920	256
5	6604	194
6	2223	66
7	569	25
8	984	39
9	895	29
10	831	67
11	644	40
12	567	35
13	1034	57
14	615	52
15	538	44
16	477	65
17	604	31
18	945	34
19	493	24
20	819	85
21	394	77
22	893	82
23	537	75
24	943	128
25	270	14
26	521	36
27	803	69
28	122	5
29	530	62
30	634	96
31	32	4
32	571	98
33	883	90
34	649	72
35	373	58
36	975	151
37	1115	147
38	524	57
39	1011	132
40	225	17
41	923	74
42	914	92
43	200	13
44	732	38
45	545	35
46	502	27
47	306	22
48	331	19
49	485	29
50	371	32
51	905	143
52	663	51
53	1396	139
54	1325	125
55	146	6
56	616	24
